"","sumDelegations","Age","Female","Education","ProbOfBadComputerChoices","ProbOfAbsurdComputerChoices","ComputerRiskTaking"
"sumDelegations",1,0.0505551009001147,0.0280107555697255,-0.0077812861534108,-0.317686081497367,-0.270566643116625,-0.0361715285719739
"Age",0.0505551009001147,1,-0.0496659864071763,0.0173800001473918,-0.0435074650926074,-0.101873093030631,-0.0391723770178003
"Female",0.0280107555697255,-0.0496659864071763,1,0.0689267747610342,0.029754666364655,0.0188182298568331,-0.050951991720263
"Education",-0.0077812861534108,0.0173800001473918,0.0689267747610342,1,-0.0239578708777705,-0.143406831849721,-0.164479194545234
"ProbOfBadComputerChoices",-0.317686081497367,-0.0435074650926074,0.029754666364655,-0.0239578708777705,1,0.413985443856057,0.212847089568724
"ProbOfAbsurdComputerChoices",-0.270566643116625,-0.101873093030631,0.0188182298568331,-0.143406831849721,0.413985443856057,1,0.0306913209859338
"ComputerRiskTaking",-0.0361715285719739,-0.0391723770178003,-0.050951991720263,-0.164479194545234,0.212847089568724,0.0306913209859338,1
